Timestamp,Scenario,DL_Throughput_Mbps,UL_Throughput_Mbps,Total_Throughput_Mbps,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Jitter_ms,Rx_Packets,Lost_Packets,Packet_Loss_%,Verification_Events,Verification_Success
1,Pre-Baseline Normal,0,0,0,0,0,0,0,0,0,0,0,0
2,Periodic Check,0,0,0,0,0,0,0,0,0,0,0,0
4,Periodic Check,3.332,0.2016,3.5336,45.3634,1.54643,1102.91,348.838,883400,2,0.000226397,0,0
6,Periodic Check,2.4416,0.056,2.4976,56.7707,1.45268,1102.91,312.96,1507800,3,0.000198965,0,0
6,Baseline Failure – Mid,0,0,0,56.7707,1.45268,1102.91,312.96,1507800,3,0.000198965,0,0
8,Periodic Check,3.192,0.5656,3.7576,356.293,1.45268,4300.66,1053.71,2447200,45,0.0018388,0,0
10,Periodic Check,2.8672,0,2.8672,407.734,1.45268,4300.66,1027.83,3164000,55,0.00173828,0,0
11,Baseline Failure – End,2.912,0,2.912,427.972,1.45268,4300.66,1017.18,3528000,55,0.00155893,0,0
12,Periodic Check,5.4768,0,5.4768,493.555,1.43482,4300.66,1012.12,4212600,55,0.00130559,0,0
14,Periodic Check,2.212,0,2.212,440.026,1.43482,4300.66,1018.05,4765600,55,0.00115409,0,0
16,Periodic Check,2.2176,0,2.2176,399.663,1.43482,4300.66,1021.75,5320000,55,0.00103382,0,0
18,Periodic Check,2.2176,0,2.2176,369.184,1.43482,4300.66,1023.91,5874400,55,0.000936257,0,0
20,Periodic Check,2.212,0,2.212,345.872,1.43482,4300.66,1025.08,6427400,55,0.000855704,0,0
22,Periodic Check,2.2176,0,2.2176,327.976,1.43482,4300.66,1025.57,6981800,55,0.000787756,0,0
24,Periodic Check,0.7784,0.2352,1.0136,469.519,1.43482,17982.3,5453.33,7235200,105,0.00145122,0,0
26,Periodic Check,3.304,0,3.304,1112.98,1.43482,17982.3,5307.37,8061200,404,0.00501141,0,0
28,Periodic Check,3.6512,0.028,3.6792,1335.86,1.43482,22349.2,5267.17,8981000,432,0.00480992,0,0
30,Periodic Check,5.964,0,5.964,1568.91,1.43482,22349.2,5239.81,10472000,434,0.00414421,0,0
32,Periodic Check,3.9032,0,3.9032,1691.53,1.43482,22349.2,5252.49,11447800,434,0.00379098,0,0
32,Crash – During,0,0,0,1691.53,1.43482,22349.2,5252.49,11447800,434,0.00379098,0,0
34,Periodic Check,3.892,0,3.892,1767.29,1.43482,22349.2,5262.07,12420800,434,0.00349402,0,0
34,Continuity Success – Crash Recovery,0,0,0,1767.29,1.43482,22349.2,5262.07,12420800,434,0.00349402,1,1
36,Periodic Check,3.2032,0.2968,3.5,2039.93,1.43482,32464.8,8009.85,13295800,439,0.00330169,1,1
37,Migration – Start,1.8928,0,1.8928,2018.55,1.43482,32464.8,8010.59,13532400,452,0.00334002,1,1
38,Periodic Check,1.5568,0,1.5568,2004.34,1.43482,32464.8,8010.56,13727000,458,0.00333638,2,1
38,Continuity Success – Migration,0,0,0,2004.34,1.43482,32464.8,8010.56,13727000,458,0.00333638,2,1
40,Periodic Check,4.2784,0.2912,4.5696,2152.72,1.43482,33667,7910.39,14869400,485,0.00326163,2,1
42,Periodic Check,6.132,0.028,6.16,2255.29,1.43482,37389.8,8170.84,16409400,486,0.00296163,2,1
42,Restart – Start,0,0,0,2255.29,1.43482,37389.8,8170.84,16409400,486,0.00296163,2,1
43,Continuity Success – Process Restart,2.5984,0.5712,3.1696,2358.09,1.43482,37389.8,8719.37,16805600,509,0.00302866,3,1
44,Periodic Check,0.3248,0,0.3248,2357.64,1.43482,37389.8,8720.89,16846200,510,0.0030273,3,1
44.5,Final,0,0,0,2357.64,1.43482,37389.8,8720.89,16846200,510,0.0030273,4,1
